articulo,marca,nombre,descripcion_lp,talles,curva,precio_excel,match,score,en_sitio,sitio_nombre,sitio_sku,sitio_imagen,sitio_descripcion_corta,sitio_precio,sitio_url
50027,BOYS,Campera PST Boys,Campera PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,19990,sku,1.00,si,Campera de Frisa Clásica con Bolsillos Canguro y Capucha Ajustable,50027,https://magicstore.com.ar/wp-content/uploads/2025/03/campera-lisa.webp,"Campera de frisa clásica con bolsillos canguro y capucha ajustable, perfecta para un look cómodo y funcional. Su diseño sencillo y versátil la hace ideal para los más chicos en cualquier ocasión. Los bolsillos canguro ofrecen comodidad extra, mientras que la capucha ajustable proporciona protección en días frescos. Perfecta para combinar con jeans, pantalones o joggings para un look casual y cómodo.",43999,https://magicstore.com.ar/campera-de-frisa-clasica-con-bolsillos-canguro-y-capucha-ajustable-2/
50028,BOYS,Remera ML PST Boys,Remera ML PST Boys,4-6-8-10-12-14-16,1-1-1-1-2-2-2,5990,sku,1.00,si,Remera de Algodón Lisa,50028leste,https://magicstore.com.ar/wp-content/uploads/2025/03/magic-329-3.webp,"Remera de algodón lisa, ideal para los más chicos que buscan comodidad y frescura. Su material suave y transpirable ofrece confort durante todo el día, mientras que su diseño sencillo permite combinarla fácilmente con otras prendas. Perfecta para un look casual y versátil, ideal para cualquier ocasión.",14500,https://magicstore.com.ar/remera-de-algodon-lisa-5/
50089,BOYS,Jogging Frisa PST Boys,Jogging Frisa PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,14990,sku,1.00,si,Jogging de Frisa,50089,https://magicstore.com.ar/wp-content/uploads/2025/05/posto-web-1.webp,"Comodidad total para todos los días. Este jogging está confeccionado en frisa suave y abrigada, ideal para los días frescos. Tiene cintura con elástico interno, bolsillos laterales y puños embutidos que le dan un calce moderno y prolijo.",35500,https://magicstore.com.ar/jogging-de-frisa/
50090,BOYS,Jogging Rustico PST Boys,Jogging Rustico PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,14990,sku,1.00,si,Pantalón jogger unisex &#8211; POSTO,50090-azul,https://magicstore.com.ar/wp-content/uploads/2025/08/JOGGING-AZUL.jpg,"Pantalón jogger azul marino, confeccionado en algodón con interior suave y cálido. Diseño cómodo con cintura elástica ajustable mediante cordón y bolsillos laterales. Ideal para uso diario, deporte o relax, combinando estilo y confort.",32999,https://magicstore.com.ar/pantalon-jogger-unisex-posto/
50106,BOYS,JOGGING CARGO PST BOYS,JOGGING CARGO PST BOYS,4-6-8-10-12-14-16,1-1-2-2-2-2-2,17500,sku,1.00,si,Jogging de Frisa Liso con Bolsillos Cargo y Costuras a Tono,50106,https://magicstore.com.ar/wp-content/uploads/2025/03/magik-2305004.jpg,"Jogging de frisa suave y cálida, con bolsillos cargo para un toque práctico y de estilo. Las costuras a tono añaden un acabado detallado y limpio. Ideal para los días fríos, este jogging ofrece comodidad y funcionalidad en cada movimiento. Perfecto para un look casual y deportivo en invierno.",38500,https://magicstore.com.ar/jogging-de-frisa-liso-con-bolsillos-cargo-y-costuras-a-tono/
50113,BOYS,Buzo Capucha PST Boys,Buzo Capucha PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,14990,sku,1.00,si,Buzo Hoodie de Algodón con Capucha,50113-azul,https://magicstore.com.ar/wp-content/uploads/2026/04/teens105.webp,"¡El básico que no les puede faltar! Este buzo con capucha (hoodie) está diseñado para bancarse todas las aventuras diarias, desde el colegio hasta una tarde de juegos o salida con amigos. Confeccionado en algodón de primera calidad, ofrece una textura suave al tacto y el abrigo justo para las temporadas intermedias o para usar debajo de una campera en invierno. Su corte clásico y cómodo permite una total libertad de movimiento, mientras que el detalle del interior de la capucha en color gris melange y los cordones blancos le dan un toque moderno y canchero que marca la diferencia",32999,https://magicstore.com.ar/buzo-hoodie-de-algodon-con-capucha-3/
50114,BOYS,Buzo CR PST Boys,Buzo CR PST Boys,4-6-8-10-12-14-16,1-1-2-2-2-2-2,12500,sku,1.00,si,Buzo de frisa Basic,50114-celeste,https://magicstore.com.ar/wp-content/uploads/2026/04/teens10.webp,"¡El aliado ideal para el colegio, el club o las tardes de juego! Nuestro Buzo Basic de frisado está diseñado pensando en la libertad de movimiento que los chicos necesitan, sin perder ese toque canchero que les encanta. Características del Producto: Material de Calidad: Confeccionado en algodón frisado de primera línea, liviano y súper suave al tacto. Ideal para usar solo o sobre una remera. Diseño Clásico: Cuello redondo reforzado y terminaciones en ribb elástico en puños y cintura para un ajuste perfecto que no se deforma con los lavados.",27500,https://magicstore.com.ar/buzo-de-frisa-basic-2/
80031,MICKEY,Buzo capucha Mickey,Buzo capucha Mickey,2-4-6-8,2-2-1-1,17500,fuzzy,0.50,si,Buzo capucha Princesas,82772-beige,https://magicstore.com.ar/wp-content/uploads/2026/02/82772-1.jpg,"Este buzo con capucha es mucho más que un básico de invierno; es un recordatorio diario de que los sueños se hacen realidad. Reuniendo a tres de las princesas más queridas y valientes de Disney —Ariel, Moana y Bella—, creamos una prenda que inspira a las niñas a explorar el mundo con curiosidad y corazón. Pensado para la comodidad total, este hoodie cuenta con una capucha amplia con cordones al tono, ideal para protegerse del viento con estilo. Sus puños y cintura de rib elástico aseguran un calce perfecto que acompaña el movimiento, ya sea para leer un libro como Bella o para salir a la aventura como Moana. Es la prenda «comodín» perfecta: combina con todo y lleva la magia a todas partes.",48500,https://magicstore.com.ar/buzo-capucha-princesas/
80037,MICKEY,Buzo CR Mickey,Buzo CR Mickey,2-4-6-8,2-2-1-1,12500,fuzzy,0.67,si,Buzo de frisa Mickey,80575%gris,https://magicstore.com.ar/wp-content/uploads/2025/02/524-scaled.jpg,"Este buzo de Mickey Mouse de frisa es perfecto para abrigar con estilo. Confeccionado en tela suave y calentita, incluye estampa frontal y en mangas con el clásico personaje de Disney, ideal para los fanáticos del ratón más querido. Su diseño moderno y cómodo lo convierte en una prenda ideal para todos los días.",32999,https://magicstore.com.ar/buzo-de-frisa-mickey/
80139,SPIDERMAN,Pijama ML Spiderman,Pijama ML Spiderman,2-4-6-8-10-12-14,2-3-3-3-1-1-1,16990,sku,1.00,si,Pijama Spidey Night Gear,80139%rojo,https://magicstore.com.ar/wp-content/uploads/2025/02/Gemini_Generated_Image_derlh6derlh6derl.png,"🕷️ ¡Prepárate para una noche de aventuras arácnidas! 🕷️ Con la pijama de Spider-Man, los pequeños héroes podrán descansar como verdaderos trepamuros. Diseñada con materiales suaves y cómodos, esta pijama es perfecta para mantenerlos abrigados durante la noche mientras sueñan con salvar la ciudad. Su diseño inspirado en el icónico traje de Spidey hará que se sientan como su superhéroe favorito.",40999,https://magicstore.com.ar/pijama-spidey-night-gear/
80143,SPIDERMAN,Jogging Spiderman,Jogging Spiderman,2-4-6-8-10-12-14,1-2-2-2-1-1-1,19990,sku,1.00,si,Jogging Disfraz de Frisa Spider-Man &#8211; Marvel,80143%azul,https://magicstore.com.ar/wp-content/uploads/2025/02/Frente-jogging-de-frisa-spiderman.webp,"Jogging disfraz de frisa con recorte estampado. Confeccionado en material suave y cómodo, ideal para un look divertido y original. Diseño moderno y abrigado, perfecto para ocasiones especiales o un estilo único en el día a día.",43999,https://magicstore.com.ar/jogging-spideman/
80191,SPIDERMAN,Buzo Spiderman,Buzo Spiderman,2-4-6-8-10-12-14,1-2-2-2-1-1-1,19990,sku,1.00,si,Buzo Red &amp; Web,80191%rojo,https://magicstore.com.ar/wp-content/uploads/2025/02/magic-9.webp,"¡Vive la acción y el estilo con el Buzo Spider-Man: Red & Web! Este buzo presenta el emblemático diseño de Spider-Man, con detalles en telarañas y colores vibrantes que hacen homenaje a tu héroe arácnido favorito. Hecho con materiales suaves y cómodos, es perfecto para mantenerte abrigado mientras sigues los pasos del hombre araña en cada aventura. Ideal para los días fríos o para cualquier momento en que quieras mostrar tu pasión por Spider-Man, este buzo es la opción perfecta para los verdaderos fanáticos.",43999,https://magicstore.com.ar/buzo-red-web/
80276,AVENGERS,Buzo CR Avengers,Buzo CR Avengers,2-4-6-8-10-12-14,1-2-2-2-1-1-1,16500,sku,1.00,si,Buzo Frisa Avengers,80276%azul,https://magicstore.com.ar/wp-content/uploads/2025/02/AVENGERS-ART.-80276.jpg,"¡Prepárate para la acción con el Buzo Avengers: La Fuerza de la Unidad! Este buzo combina comodidad y estilo con el poder de los Avengers. Con un diseño vibrante que incluye a tus héroes favoritos como Iron Man, Capitán América, Thor y más, este buzo es perfecto para los pequeños que quieren vestir con la energía de los superhéroes más poderosos. Hecho de materiales suaves y duraderos, es ideal para el día a día, brindando todo el poder de la Avengers en cada movimiento. ¡Únete a la liga de los mejores héroes y siente la fuerza!",36500,https://magicstore.com.ar/buzo-frisa-avengers/
80376,CARS,Remera ML Cars,Remera ML Cars,2-4-6-8,1 X TALLE,7990,fuzzy,0.67,si,Remera Cars Niños,80391-blanco,https://magicstore.com.ar/wp-content/uploads/2026/02/remea-1.jpg,"Esta remera es la definición de estilo para los pequeños corredores. Con un diseño «doble manga» que simula una remera de manga corta sobre una de manga larga, ofrece un look canchero y urbano en una sola prenda, perfecto para quienes quieren destacar en la pista y en la calle.",26500,https://magicstore.com.ar/remera-cars-ninos/
80377,CARS,Pijama ML Cars,Pijama ML Cars,2-4-6-8,2-2-1-1,14990,fuzzy,0.67,si,Pijama Cars Niños,80389-negro,https://magicstore.com.ar/wp-content/uploads/2026/02/cars-pijama-1.jpg,"Este pijama de dos piezas es la opción ideal para que los chicos descansen con la máxima suavidad. Con un diseño vibrante y lleno de personalidad, convierte la hora de dormir en el momento más esperado del día.",35999,https://magicstore.com.ar/pijama-cars-ninos/
80385,CARS,Boxer Cars,Boxer Cars,2-4-6-8,2-2-1-1,3990,sku,1.00,si,Bóxer Cars para niño,80385-rojo,https://magicstore.com.ar/wp-content/uploads/2026/02/boxer-cars-1.jpg,"¡Encendé los motores para el día a día! Este bóxer de Cars es la combinación perfecta entre diversión y funcionalidad. Con un diseño lleno de adrenalina, es la prenda interior ideal para que los pequeños corredores se sientan cómodos, seguros y listos para la acción desde la mañana hasta la noche.",9999,https://magicstore.com.ar/boxer-cars-para-nino/
80386,CARS,Buzo capucha Cars,Buzo capucha Cars,2-4-6-8,2-2-1-1,21990,sku,1.00,si,Buzo Cars Niños,80386-azul,https://magicstore.com.ar/wp-content/uploads/2026/02/cars-1.jpg,"¡Sentí la adrenalina de la Copa Pistón! Este buzo con capucha es la prenda definitiva para los pequeños fanáticos de la velocidad. Con un tono azul melange súper combinable y gráficos de alto impacto, ofrece un look deportivo y moderno, ideal para mantenerse abrigado con todo el estilo de Disney-Pixar.",48500,https://magicstore.com.ar/buzo-cars-ninos/
80387,CARS,Buzo Cars,Buzo Cars,2-4-6-8,2-2-1-1,16990,sku,1.00,si,Buzo de Frisa McQueen,80387-beige,https://magicstore.com.ar/wp-content/uploads/2026/02/buzo-cars-1.jpg,"¡Sentí la velocidad con el Rayo McQueen! Este buzo de diseño minimalista en el frente e impactante en la espalda es la prenda definitiva para los fanáticos de Cars. Con un tono arena (sand) súper tendencia, combina la calidez de la frisa premium con un estilo streetwear que no pasa de moda.",37500,https://magicstore.com.ar/buzo-de-frisa-mcqueen/
80389,CARS,Pijama ML Cars,Pijama ML Cars,2-4-6-8,2-2-1-1,14990,sku,1.00,si,Pijama Cars Niños,80389-negro,https://magicstore.com.ar/wp-content/uploads/2026/02/cars-pijama-1.jpg,"Este pijama de dos piezas es la opción ideal para que los chicos descansen con la máxima suavidad. Con un diseño vibrante y lleno de personalidad, convierte la hora de dormir en el momento más esperado del día.",35999,https://magicstore.com.ar/pijama-cars-ninos/
80391,CARS,Remera ML Cars,Remera ML Cars,2-4-6-8,2-2-1-1,10990,sku,1.00,si,Remera Cars Niños,80391-blanco,https://magicstore.com.ar/wp-content/uploads/2026/02/remea-1.jpg,"Esta remera es la definición de estilo para los pequeños corredores. Con un diseño «doble manga» que simula una remera de manga corta sobre una de manga larga, ofrece un look canchero y urbano en una sola prenda, perfecto para quienes quieren destacar en la pista y en la calle.",26500,https://magicstore.com.ar/remera-cars-ninos/
80392,CARS,Remera ML Cars,Remera ML Cars,2-4-6-8,2-2-1-1,10990,sku,1.00,si,Remera Manga Larga Cars,80392-verde,https://magicstore.com.ar/wp-content/uploads/2026/02/80392-1.jpg,"Esta remera manga larga combina la estética racing con un color verde oliva de súper tendencia. Es la prenda ideal para los chicos que buscan comodidad y estilo, perfecta para usar en días de juego o paseos al aire libre.",26500,https://magicstore.com.ar/remera-manga-larga-cars/
80393,CARS,Remera ML Cars,Remera ML Cars,2-4-6-8,2-2-1-1,10990,fuzzy,0.67,si,Remera Cars Niños,80391-blanco,https://magicstore.com.ar/wp-content/uploads/2026/02/remea-1.jpg,"Esta remera es la definición de estilo para los pequeños corredores. Con un diseño «doble manga» que simula una remera de manga corta sobre una de manga larga, ofrece un look canchero y urbano en una sola prenda, perfecto para quienes quieren destacar en la pista y en la calle.",26500,https://magicstore.com.ar/remera-cars-ninos/
80426,TOY STORY,Pijama ML Toy story,Pijama ML Toy story,2-4-6-8,2-2-1-1,14990,sku,1.00,si,Pijama Buzz Toy Story,80426,https://magicstore.com.ar/wp-content/uploads/2025/07/80426.webp,"Pijama Buzz Lightyear de Manga Larga para NiñoPijama de dos piezas con diseño inspirado en el icónico traje de Buzz Lightyear, ideal para pequeños fans de Toy Story. Confeccionado en algodón suave y liviano, perfecto para dormir cómodo toda la noche. Remera de manga larga con estampa del traje de Buzz Pantalón largo con cintura elastizada y puños ajustados Tela respirable y resistente al lavado Un conjunto cómodo y divertido para soñar con misiones espaciales. Disponible en talles del 2 al 8.",35999,https://magicstore.com.ar/pijama-buzz-toy-story/
80429,TOY STORY,Remera ML Toy Story,Remera ML Toy Story,2-4-6-8,2-2-1-1,7990,fuzzy,0.60,si,Remera Manga Larga Toy Story,81701-celeste,https://magicstore.com.ar/wp-content/uploads/2026/02/81701-1.jpg,"Esta remera de Toy Story 5 es ideal para los chicos que buscan un estilo «skater» o descontracturado. Su diseño simula ser una remera de manga corta sobre una de manga larga (efecto superpuesto), brindando toda la onda de las capas sin la incomodidad de usar dos prendas a la vez.",28999,https://magicstore.com.ar/remera-manga-larga-toy-story-2/
80447,TOY STORY,Pijama ML Toy story,Pijama ML Toy story,2-4-6-8,2-2-1-1,14990,sku,1.00,si,Pijama Toy Story Woody Disfraz,80447-blanco,https://magicstore.com.ar/wp-content/uploads/2026/02/80447-1.jpg,"¡Al infinito y más allá&#8230; hasta la hora de dormir! Este pijama de dos piezas convierte la hora de ir a la cama en una aventura del lejano oeste. Con un diseño exclusivo que imita el traje del Comisario Woody, es la prenda perfecta para que los fanáticos de Toy Story jueguen a ser su héroe favorito antes de dormir.",35999,https://magicstore.com.ar/pijama-toy-story-woody-disfraz/
80470,TOY STORY,Pijama ML Toy story,Pijama ML Toy story,2-4-6-8-10,1 X TALLE,14990,fuzzy,1.00,si,Pijama Toy Story,80499-azul,https://magicstore.com.ar/wp-content/uploads/2026/02/80499-1.jpg,"Preparados para la próxima aventura! Este pijama de dos piezas trae lo último del universo Pixar con el logo oficial de Toy Story 5. Un diseño que mezcla a los héroes de siempre con nuevos amigos tecnológicos, ideal para los pequeños fanáticos que siempre quieren estar a la vanguardia.",35999,https://magicstore.com.ar/pijama-toy-story-2/
80488,TOY STORY,Buzo capucha Toy Story,Buzo capucha Toy Story,4-6-8,1 X TALLE,14990,sku,1.00,si,Buzo Espacial Buzz Lightyear,80488%negro,https://magicstore.com.ar/wp-content/uploads/2025/04/123-2.webp,"Buzo de frisa con capucha ajustable forrada y estampado. Confeccionado en material suave y abrigado, ideal para los días fríos. Diseño cómodo y moderno, perfecto para un look casual.",32999,https://magicstore.com.ar/buzo-espacial-buzz-lightyear-2/
80489,TOY STORY,Remera ML Toy Story,Remera ML Toy Story,4-6-8,1 X TALLE,7990,sku,1.00,si,Remera Buzz Lightyear,80489%gris,https://magicstore.com.ar/wp-content/uploads/2025/02/80489-fre-1-scaled.jpg,"Remera de algodón con bajo de manga, estampada. Confeccionada en material suave y cómodo, ideal para un look casual y relajado. Diseño moderno y cómodo, perfecto para el día a día.",19500,https://magicstore.com.ar/remera-buzz-lightyear/
80492,TOY STORY,Boxer Toy story,Boxer Toy story,2-4-6-8,2-2-1-1,3990,slug,1.00,si,Boxer Toy Story,80492-azul,https://magicstore.com.ar/wp-content/uploads/2026/02/80492-1.jpg,"Ropa interior tipo boxer para niños con estampa oficial de Disney Pixar. Un diseño vibrante y cómodo, ideal para que los chicos lleven a sus personajes favoritos todos los días.",9999,https://magicstore.com.ar/boxer-toy-story/
80494,TOY STORY,Buzo capucha Toy story,Buzo capucha Toy story,2-4-6-8,1 X TALLE,21990,sku,1.00,si,Buzo con capucha Toy Story Jessie,80494-durazno,https://magicstore.com.ar/wp-content/uploads/2026/02/80494.webp,"¡Actitud vaquera y mucho estilo! Este buzo canguro captura toda la energía y alegría de Jessie, la vaquerita más valiente de Toy Story. Diseñado en un hermoso color salmón pastel, es la prenda ideal para las niñas que buscan aventuras y comodidad en su día a día. Su diseño lleno de detalles brillantes y temáticos lo convierte en un favorito instantáneo.",48500,https://magicstore.com.ar/buzo-con-capucha-toy-story-jessie/
80495,TOY STORY,Buzo Toy story,Buzo Toy story,2-4-6-8,2-2-1-1,17990,sku,1.00,si,Buzo Toy Story,80495-maiz,https://magicstore.com.ar/wp-content/uploads/2026/02/80495-1.jpg,"¡Conectate con tus personajes favoritos! Este buzo de Toy Story le da un giro moderno y divertido a la ropa infantil. Lejos de los diseños tradicionales, esta prenda presenta a la pandilla de juguetes en una situación muy actual: ¡en una videollamada grupal! Es la elección perfecta para los chicos que aman la película y buscan estar a la moda con un look urbano y relajado",39999,https://magicstore.com.ar/buzo-toy-story-2/
80498,TOY STORY,Pijama ML Toy story,Pijama ML Toy story,2-4-6-8,2-2-1-1,16990,sku,1.00,si,Pijama Toy Story Lotso,80498-rosa,https://magicstore.com.ar/wp-content/uploads/2026/02/80498-1.jpg,"¡Dulzura y color para la hora de dormir! Este pijama de dos piezas trae al personaje más abrazable del universo Pixar: Lotso (Lots-o&#8217;-Huggin&#8217; Bear). Con un diseño vibrante en tonos rosados, es la opción ideal para quienes aman los colores alegres y los personajes icónicos.",40999,https://magicstore.com.ar/pijama-toy-story-lotso/
80499,TOY STORY,Pijama ML Toy story,Pijama ML Toy story,2-4-6-8,2-2-1-1,14990,sku,1.00,si,Pijama Toy Story,80499-azul,https://magicstore.com.ar/wp-content/uploads/2026/02/80499-1.jpg,"Preparados para la próxima aventura! Este pijama de dos piezas trae lo último del universo Pixar con el logo oficial de Toy Story 5. Un diseño que mezcla a los héroes de siempre con nuevos amigos tecnológicos, ideal para los pequeños fanáticos que siempre quieren estar a la vanguardia.",35999,https://magicstore.com.ar/pijama-toy-story-2/
80565,MICKEY,Jogging Mickey,Jogging Mickey,2-4-6-8,2-2-1-1,16990,sku,1.00,si,jogging de frisa Mickey Mouse,80565%gris,https://magicstore.com.ar/wp-content/uploads/2025/01/magic-102.jpg,"Este jogging de Mickey Mouse de frisa es ideal para brindar comodidad y estilo a los más pequeños. Confeccionado en frisa suave y abrigada, cuenta con una cintura ajustable para un calce perfecto. Su diseño incluye un estampado exclusivo de Mickey, aportando un toque divertido y único para los fanáticos de Disney",37500,https://magicstore.com.ar/jogging-de-frisa-mickey-mouse/
80569,MICKEY,Remera ML Mickey,Remera ML Mickey,2-4-6,1 X TALLE,7990,fuzzy,0.67,si,Remera ML Mickey Mouse,81609-marron,https://magicstore.com.ar/wp-content/uploads/2026/02/0307-1-scaled.jpg,"Esta remera es un homenaje a los mejores amigos de Disney. Con un diseño de «doble impacto» que incluye a Mickey, Goofy y Donald, y una combinación de colores vibrante, es la prenda perfecta para compartir buenos momentos y mucha diversión.",26500,https://magicstore.com.ar/remera-ml-mickey-mouse-4/
80570,MICKEY,Remera ML Mickey,Remera ML Mickey,2-4-6,1 X TALLE,7990,sku,1.00,si,Remera Manga larga de Algodon Mickey Mouse &#8211; Disney,80570-Beige,https://magicstore.com.ar/wp-content/uploads/2025/02/frente-remera-manga-larga-algodon-mickey-mouse-disney.webp,"Remera de Manga Larga Mickey Mouse – Disney La remera de manga larga de Mickey Mouse es una prenda esencial para los fans del personaje más icónico de Disney. Confeccionada en algodón 100%, brinda una sensación suave al tacto y una excelente transpirabilidad, ideal para acompañar a los más chicos durante todo el día. Su estampado frontal de Mickey aporta un toque clásico y divertido, mientras que el corte cómodo y versátil permite combinarla fácilmente con joggings, jeans o bermudas para cualquier ocasión. Algodón 100% suave, liviano y respirable Diseño de manga larga para días frescos Estampado original de Mickey Mouse con licencia oficial Corte clásico que brinda comodidad y libertad de movimiento Disponible en varias tallas infantiles Con esta remera de Mickey Mouse, estilo y comodidad se combinan en una prenda ideal para todos los días.",19500,https://magicstore.com.ar/remera-mickey-mouse/
80571,MICKEY,Remera ML Mickey,Remera ML Mickey,2-4,1 X TALLE,7990,sku,1.00,si,Remera Beyond Cool,80571%blanco,https://magicstore.com.ar/wp-content/uploads/2025/01/magic-65.jpg,"¡Mickey está más allá de lo cool! Esta remera manga larga con el mensaje «Beyond Cool» es perfecta para los peques que tienen mucho estilo. Con Mickey en su versión más moderna y divertida, esta prenda cómoda y con actitud asegurará que tu niño se vea genial y se sienta aún mejor. ¡Para pequeños con grandes personalidades!",19500,https://magicstore.com.ar/remera-beyond-cool/
